#;sport_type;Other;age;usage_frequency;usage_reason_regeneration;usage_reason_tension;usage_reason_injury;usage_reason_pain;usage_reason_existing_condition;usage_phase;application_method;product_evaluation_effectiveness;product_evaluation_likelihood_of_recommendation;effectiveness_rating;product_purity_rating;Wissenschaftlich fundiert;100% Wirkstoffe, 0% Füllstoffe;Entwickelt in Deutschland - Hergestellt in Österreich;100% natürlich und Bio-zertifiziert;Einfach & schnell anzuwenden;Etabliert im Profisport;Zieht gut ein & fettet nicht;Other;recommendation_likelihood;reason_effectiveness;Ich habe doch keinen Bedarf;reason_price;Die Flasche ist in der Anwendung unpraktisch;importance_of_price;Wie viel wärst du bereit, maximal für den 50 ml Muscle Complex zu zahlen?;Wie lange kommst du in der Regel mit einer 50 ml Flasche aus?;Wenn du kostenlos unbegrenzt Muscle Complex zu Hause hättest – würdest du ihn häufiger nutzen?;Ab welchem Preis würdest du ihn vermutlich häufiger und ohne Zögern verwenden – so, wie’s für dich eigentlich am besten wäre?;Hast du noch weiteres Feedback zu unseren Produkten oder zum Service?;;;;;;;
urwjss7fqi6equf3furwjvkxm3s0ryc6;Laufen;;45–54 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;4;3;7;;;;;;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;4;Die Wirkung war mir nicht spürbar genug;;Der Preis ist mir zu hoch;;10;34,90 €;1 Monat;Vielleicht – ich hätte gerne noch mehr Tipps, wann die Anwendung sinnvoll ist;;Final fehlt mir der Vergleich, mit und ohne Produkt. Für ein auftragen vor und nach jedem Training definitiv zu teuer und hält daher davon ab herauszufinden ob das Produkt wirklich etwas verbessert.;;;;;;;
fumixcewrv1818566afffumixrcp3bqa;Laufen;;55–64 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;;Nur bei Beschwerden;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;4;4;4;Spürbare Wirkung;;;;;;;Zieht gut ein & fettet nicht;;5;Die Wirkung war mir nicht spürbar genug;;Der Preis ist mir zu hoch;;8;Kann ich schwer einschätzen;2 Monate;Vielleicht – ich hätte gerne noch mehr Tipps, wann die Anwendung sinnvoll ist;;;;;;;;;
ntimgew42r6gl8pmto3g4ynti1jtm97w;Laufen;;25–34 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;Verspannungen lösen;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;4;10;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;;Einfach & schnell anzuwenden;;;;7;;;;;;;1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
53apcbtc53gtfne9y53apcbts9vark8w;Laufen;;25–34 Jahre;1-2x im Monat;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;5;5;8;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;7;;;;;;;5-6 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;Kann ich schwer einschätzen;tolles Produkt- weiter so!;;;;;;;
gismuabennj7svh12gismutl6x3vxcym;Laufen;;25–34 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;Verletzungen vorbeugen;;;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;4;6;Spürbare Wirkung;;;;;;;Zieht gut ein & fettet nicht;;4;;;Der Preis ist mir zu hoch;;5;34,90 €;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;;;;;;;;
pm08bf4y6bsaatr5m3pm08bfimbsk9g3;Laufen;;45–54 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;Verspannungen lösen;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;5;10;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;7;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;Ich finde eure Produkte sehr toll und vor allem, ich merke, dass es wirkt! Einen Ultratrail ohne den Musclekomplex, wird es bei mir nicht mehr geben;;;;;;;
r10scxkm943is9xu8axq6mr10sc245w9;Laufen;;35–44 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;Verspannungen lösen;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;4;9;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;100% natürlich und Bio-zertifiziert;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;7;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;Kann ich schwer einschätzen;;;;;;;;
ndx72ax3jvcmdvz8urbndx72a3o5skoi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
qnt9j9p18lszv7w5goec9qnt9j9xxnz0;Laufen;;35–44 Jahre;1-2x im Monat;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;3;9;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;;;;Zieht gut ein & fettet nicht;;7;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;Weiter so;;;;;;;
p70tir7nf3j74lscrp70tiuh9oydpv6w;Triathlon;;35–44 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;Verletzungen vorbeugen;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;2;5;Spürbare Wirkung;;;;;Einfach & schnell anzuwenden;Etabliert im Profisport;Zieht gut ein & fettet nicht;;5;;;Der Preis ist mir zu hoch;;10;29,90€ oder weniger;weniger als 1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
b2aga4cl5rn62o9hpotlf213b2aga4i0;Laufen;;55–64 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;Verletzungen vorbeugen;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;4;9;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;7;;;;;;;1 Monat;Vielleicht – ich hätte gerne noch mehr Tipps, wann die Anwendung sinnvoll ist;;;;;;;;;
fmhkyo5iohd1iw49w1jpfmhky1m44ajn;Laufen;;45–54 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;Verletzungen vorbeugen;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;5;8;Spürbare Wirkung;;;;100% natürlich und Bio-zertifiziert;;;;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;Kann ich schwer einschätzen;;;;;;;;
yy3djj0gds9yujyy3d4pgcj21lmazgng;Fitness-Kurse;;25–34 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;Verspannungen lösen;;;;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;4;10;;Wissenschaftlich fundiert;100% Wirkstoffe, 0% Füllstoffe;;;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;6;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;"Das Produkt ist ehrlich gesagt, super gut, aber leider ist Preis bisschen zu hoch.
Die Deck deckt nicht richtig fest, irgendwie leicht aufzumachen und dann überall Gel auf Tasche.";;;;;;;
7c21thajiygk35d3zj7c21th2d8ffdvu;Laufen;;35–44 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;3;8;Spürbare Wirkung;;;;;;Etabliert im Profisport;;;7;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
lij38s6726tkgdr2blij38s6mn2cpyxb;Laufen;;35–44 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;7;7;10;Spürbare Wirkung;;;;100% natürlich und Bio-zertifiziert;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
nglu6p6ytjl0aiehunglajnfdrh5g4yl;Laufen;;25–34 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;Verletzungen vorbeugen;;;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;3;2;3;;;100% Wirkstoffe, 0% Füllstoffe;;;Einfach & schnell anzuwenden;Etabliert im Profisport;;;3;;;Der Preis ist mir zu hoch;Die Flasche ist in der Anwendung unpraktisch;10;29,90€ oder weniger;1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
z4q66hyhbwkll1pgzet7vzz4q66h3pcz;Laufen;;55–64 Jahre;1-2x im Monat;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;Verspannungen lösen;;;;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;5;3;6;;;100% Wirkstoffe, 0% Füllstoffe;;;Einfach & schnell anzuwenden;;;;4;;;Der Preis ist mir zu hoch;;7;Kann ich schwer einschätzen;2 Monate;Vielleicht – ich hätte gerne noch mehr Tipps, wann die Anwendung sinnvoll ist;;;;;;;;;
8q542zhlavwo2c8j9q38q542zhx1rn3h;Keinen Sport;;;weniger als 1 x im Monat;;Verspannungen lösen;;;;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;1;1;0;Spürbare Wirkung;;;;;;;;;1;;Ich habe doch keinen Bedarf;;;0;29,90€ oder weniger;weniger als 1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
jna85qy4v6na5huhlz3jna8ix2wxue3b;Laufen;;45–54 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;5;8;Spürbare Wirkung;;;;;;Etabliert im Profisport;Zieht gut ein & fettet nicht;;6;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;;;;;;;;
uj54x49xv17hbdouj549qe9ymmxd66cx;Triathlon;;45–54 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;4;3;4;Spürbare Wirkung;;;;;Einfach & schnell anzuwenden;;;;4;;;Der Preis ist mir zu hoch;;10;29,90€ oder weniger;weniger als 1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
xoj3h2oqbi9f7gqe90xoj3hz02g2adss;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
muudwral7mtrpfz4muudwtk8lla3knzz;Laufen;;35–44 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;2;9;;;;;100% natürlich und Bio-zertifiziert;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;6;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;Hoher Preis;;;;;;;
t7a9dkou0nccn88ws8it7a9dkqkuiub2;Laufen;;35–44 Jahre;1-2x pro Woche;;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);Bestehenden Muskelkater loswerden;Nur bei Beschwerden;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;5;3;10;Spürbare Wirkung;;;;100% natürlich und Bio-zertifiziert;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;1;;;Der Preis ist mir zu hoch;;10;29,90€ oder weniger;1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;Feels like ist mir sympathisch. Zumindest das Produkt.;;;;;;;
23txy8germmwwqz8zg23txy816r117vr;Laufen;;55–64 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;4;10;Spürbare Wirkung;Wissenschaftlich fundiert;;;100% natürlich und Bio-zertifiziert;;Etabliert im Profisport;;;7;;;;;;;1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
2ec5jz16uy1lbb322ec5jzn5hv307wgt;Rennrad;;35–44 Jahre;1-2x im Monat;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;5;4;7;Spürbare Wirkung;;;;;Einfach & schnell anzuwenden;;;;5;;Ich habe doch keinen Bedarf;Der Preis ist mir zu hoch;;5;Kann ich schwer einschätzen;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;39,90 €;;;;;;;;
2u8kjov0tnoyglkvjz2u8kjofpytyhfm;Laufen;;45–54 Jahre;1-2x im Monat;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;Verspannungen lösen;;;;Nur bei Beschwerden;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;5;8;Spürbare Wirkung;Wissenschaftlich fundiert;;;;;;;;7;;;;;;;länger als 6 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
shgbat5bo27uhsg5xshgba7oznrjh0ct;Keinen Sport;;65 Jahre oder älter;1-2x im Monat;;;;;Bestehenden Muskelkater loswerden;Nur bei Beschwerden;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;7;10;;;;;;Einfach & schnell anzuwenden;;;;6;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
wftshpo22xqhupd2huvwftshqzwxmeh6;Triathlon;;35–44 Jahre;1-2x im Monat;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;2;6;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;;;;;;6;;;;;;;länger als 6 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
m92x9ij7x1hkme8im92xw90ajgk2zuo2;Fußball;;35–44 Jahre;1-2x pro Woche;;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;Nur bei Beschwerden;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;4;10;;Wissenschaftlich fundiert;;;;;;;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;;;;;;;;
br93ygjqzchiwfjyadbr93ep9fysbi7h;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
i78f6ylzvb1frwa7e8i78f17p0vyhvf8;Laufen;;45–54 Jahre;1-2x im Monat;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;5;3;6;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;100% natürlich und Bio-zertifiziert;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;5;Die Wirkung war mir nicht spürbar genug;;Der Preis ist mir zu hoch;;8;29,90€ oder weniger;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
nari4ufnwtpw0o27lenari4ufnngumj6;Laufen;;45–54 Jahre;1-2x im Monat;;Verspannungen lösen;;;Bestehenden Muskelkater loswerden;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;6;5;10;Spürbare Wirkung;Wissenschaftlich fundiert;100% Wirkstoffe, 0% Füllstoffe;;100% natürlich und Bio-zertifiziert;Einfach & schnell anzuwenden;Etabliert im Profisport;;;7;;;;;;;5-6 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
hr6i88uoq013l0jmrc5za7hr6i8phvyo;Triathlon;;;weniger als 1 x im Monat;;;Verletzungen vorbeugen;;;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich nutze ihn so oft und so viel, wie ich es brauche – unabhängig davon, wie lange die Flasche hält;6;4;9;;;;Entwickelt in Deutschland - Hergestellt in Österreich;;;;;;3;;;Der Preis ist mir zu hoch;;10;29,90€ oder weniger;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
zwa8ngmceko26qx9xyzwa8nif1pxsfwc;Triathlon;;35–44 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;2;5;Spürbare Wirkung;;;;;Einfach & schnell anzuwenden;Etabliert im Profisport;Zieht gut ein & fettet nicht;;5;;;Der Preis ist mir zu hoch;;10;34,90 €;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
3vwggifnki6o13wlh3vwggi41aj19pr1;Laufen;;35–44 Jahre;5-7x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;5;1;8;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;100% natürlich und Bio-zertifiziert;;;;;5;;;Der Preis ist mir zu hoch;;10;29,90€ oder weniger;1 Monat;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;Es ist wirklich gut, wenn ich beim Wettkampf meine Freunde damit versorge sind alle begeistert, aber es ist einfach zu teuer um es regelmäßig zu nutzen..;;;;;;;
ewiuzazqh2bpxfewi981spb21n5iqz2u;Laufen;;55–64 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;5;8;;;;;;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;5;;Ich habe doch keinen Bedarf;Der Preis ist mir zu hoch;;8;29,90€ oder weniger;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
1dtlfpmxik6auymty1dtm2v884wfxbst;Triathlon;;65 Jahre oder älter;1-2x pro Woche;;Verspannungen lösen;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;Nur bei Beschwerden;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;4;10;Spürbare Wirkung;;;;;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;Kann ich schwer einschätzen;;;;;;;;
gms0fj8j0pnj0hbimjym38gms0fawj19;Laufen;;25–34 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;;Nur in der direkten Wettkampfvorbereitung (z.B. Marathon);Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;4;8;Spürbare Wirkung;Wissenschaftlich fundiert;;Entwickelt in Deutschland - Hergestellt in Österreich;;;Etabliert im Profisport;;;7;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;Kann ich schwer einschätzen;;;;;;;;
uzg9mmhnpuiqlgixvt4jayuzg9mp9gef;Laufen;;45–54 Jahre;5-7x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;Bestehenden Muskelkater loswerden;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;6;8;Spürbare Wirkung;;;;;Einfach & schnell anzuwenden;;Zieht gut ein & fettet nicht;;7;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;Kann ich schwer einschätzen;;;;;;;;
b1kosry1pvuq644nqb1klv5f4oifn3i5;Laufen;;55–64 Jahre;1-2x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;4;10;;;100% Wirkstoffe, 0% Füllstoffe;;;Einfach & schnell anzuwenden;Etabliert im Profisport;;;6;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;34,90 €;Eine Version die für Massage geeignet ist und weniger Wirkstoffe und ein gutes Trägeröl enthält und daher günstiger ist;;;;;;;
zf27ssjozlykvk6sdxz4zf27ssui34y8;Laufen;;45–54 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;Verspannungen lösen;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich bin eher sparsam und nutze ihn seltener oder in kleinerer Menge, um länger mit der Flasche auszukommen;4;5;8;;;;;;Einfach & schnell anzuwenden;;;;6;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
343gg5hw6zqp8kmo0343gqctvj2wdntp;Laufen;;45–54 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;6;3;9;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;;;;;;7;;;;;;;3-4 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
lj4sejr8v2jeh7j3lj4tmzifxq1bzgif;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
nchojbpzx1m7rojfnchojbp99rhpxaie;Laufen;;45–54 Jahre;3-4x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;Verletzungen vorbeugen;;;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;3;9;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;;;;;;6;;;;;;;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;;;;;;;;
ll3juvpm2nf6cyxoll3juqz589t6n6nf;Laufen;;35–44 Jahre;5-7x pro Woche;Regeneration beschleunigen - müde und schwere Muskeln vorbeugen;;;Schmerzen oder Verletzungen behandeln (z. B. Shin Splints, Achillessehne);;In der Vorbereitung und im sportlichen Alltag das ganze Jahr über;Ich verwende ihn regelmäßig, aber trotzdem mit Bedacht;5;2;4;Spürbare Wirkung;;100% Wirkstoffe, 0% Füllstoffe;;;;;Zieht gut ein & fettet nicht;;5;;;Der Preis ist mir zu hoch;;10;34,90 €;2 Monate;Ja, ich würde ihn häufiger anwenden. Durch den Preis gehe ich sparsam damit um.;29,90 € oder weniger;Services ist top, Dankeschön.;;;;;;;
